# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669872375, 0, 0, 1, 1, 1, 0.01%, 0, 0, 1, 94.12
1669872380, 0, 0, 1, 1, 1, 0.01%, 5, 0, 1, 269.17
1669872385, 5, 0, 2, 1, 0, 0.03%, 5, 0, 2, 44.30
1669872390, 5, 0, 3, 2, 0, 0.03%, 5, 0, 2, 54.20
1669872395, 5, 1, 3, 2, 2, 0.03%, 5, 0, 2, 122.73
1669872488, 5, 2, 3, 1, 1, 0.03%, 5, 0, 2, 149.92
1669872651, 6, 0, 3, 0, 0, 0.03%, 5, 0, 2, 49.39
1669872661, 6, 1, 3, 0, 0, 0.03%, 5, 0, 2, 41.79
1669872692, 6, 2, 3, 0, 0, 0.03%, 5, 0, 2, 45.90
1669872723, 7, 0, 3, 0, 0, 0.03%, 5, 0, 2, 55.03
1669872733, 7, 1, 3, 0, 0, 0.03%, 5, 0, 2, 40.48
1669872748, 7, 2, 3, 0, 0, 0.03%, 5, 0, 2, 44.67
1669872764, 8, 0, 3, 0, 0, 0.03%, 5, 0, 2, 51.19
1669872769, 8, 1, 3, 0, 0, 0.03%, 5, 0, 2, 50.61
1669872784, 8, 2, 3, 0, 0, 0.03%, 5, 0, 2, 54.30
1669872799, 9, 0, 3, 0, 0, 0.03%, 5, 0, 2, 50.97
1669872810, 9, 1, 3, 0, 0, 0.03%, 5, 0, 2, 43.89
1669872820, 9, 2, 3, 0, 0, 0.03%, 5, 0, 2, 51.85
1669872835, 10, 0, 3, 0, 0, 0.03%, 5, 0, 2, 49.24
1669872846, 10, 1, 3, 0, 0, 0.03%, 5, 0, 2, 37.41
1669872861, 10, 2, 3, 0, 0, 0.03%, 5, 0, 2, 47.50
1669872877, 11, 0, 3, 0, 0, 0.03%, 5, 0, 2, 62.92
1669872887, 11, 1, 3, 0, 0, 0.03%, 5, 0, 2, 48.49
1669872897, 11, 2, 3, 0, 0, 0.03%, 5, 0, 2, 51.43
1669872917, 12, 0, 3, 0, 0, 0.03%, 5, 0, 2, 51.78
1669872923, 12, 1, 3, 0, 0, 0.03%, 5, 0, 2, 46.35
1669872938, 12, 2, 3, 0, 0, 0.03%, 5, 0, 2, 49.77
1669872953, 13, 0, 3, 0, 0, 0.03%, 5, 0, 2, 49.69
1669872964, 13, 1, 3, 0, 0, 0.03%, 5, 0, 2, 40.96
1669872979, 13, 2, 3, 0, 0, 0.03%, 5, 0, 2, 51.30
1669873004, 14, 0, 3, 0, 0, 0.03%, 5, 0, 2, 52.76
1669873009, 14, 1, 3, 0, 0, 0.03%, 5, 0, 2, 51.17
1669873025, 14, 2, 3, 0, 0, 0.03%, 5, 0, 2, 51.83
1669873035, 15, 0, 3, 0, 0, 0.03%, 5, 0, 2, 58.89
1669873045, 15, 1, 3, 0, 0, 0.03%, 5, 0, 2, 47.79
1669873061, 15, 2, 3, 0, 0, 0.03%, 5, 0, 2, 50.39
1669873071, 16, 0, 3, 0, 0, 0.03%, 5, 0, 2, 71.97
1669873076, 16, 1, 3, 0, 0, 0.03%, 5, 0, 2, 60.38
1669873091, 16, 2, 3, 0, 0, 0.03%, 5, 0, 2, 52.18
1669873102, 17, 0, 3, 0, 0, 0.03%, 5, 0, 2, 74.74
1669873112, 17, 1, 3, 0, 0, 0.03%, 5, 0, 2, 47.90
1669873127, 17, 2, 3, 0, 0, 0.03%, 5, 0, 2, 61.14
1669873137, 18, 0, 3, 0, 0, 0.03%, 5, 0, 2, 63.06
1669873143, 18, 1, 3, 0, 0, 0.03%, 5, 0, 2, 58.90
1669873158, 18, 2, 3, 0, 0, 0.03%, 5, 0, 2, 56.05
1669873168, 19, 0, 3, 0, 0, 0.03%, 5, 0, 2, 60.01
1669873178, 19, 1, 3, 0, 0, 0.03%, 5, 0, 2, 53.67
1669873188, 19, 2, 3, 0, 0, 0.03%, 5, 0, 2, 55.25
1669873204, 20, 0, 3, 0, 0, 0.03%, 5, 0, 2, 56.53
1669873209, 20, 1, 3, 0, 0, 0.03%, 5, 0, 2, 51.34
1669873224, 20, 2, 3, 0, 0, 0.03%, 5, 0, 2, 48.85
1669873235, 21, 0, 3, 0, 0, 0.03%, 5, 0, 2, 56.43
1669873245, 21, 1, 3, 0, 0, 0.03%, 5, 0, 2, 53.53
1669873255, 21, 2, 3, 0, 0, 0.03%, 5, 0, 2, 54.67
1669873271, 22, 0, 3, 0, 0, 0.03%, 5, 0, 2, 61.47
1669873281, 22, 1, 3, 0, 0, 0.03%, 5, 0, 2, 52.70
1669873291, 22, 2, 3, 0, 0, 0.03%, 5, 0, 2, 63.72
1669873306, 23, 0, 3, 0, 0, 0.03%, 5, 0, 2, 54.23
1669873311, 23, 1, 3, 0, 0, 0.03%, 5, 0, 2, 56.78
1669873322, 23, 2, 3, 0, 0, 0.03%, 5, 0, 2, 56.33
1669873337, 24, 0, 3, 0, 0, 0.03%, 5, 0, 2, 55.72
1669873347, 24, 1, 3, 0, 0, 0.03%, 5, 0, 2, 50.20
1669873357, 24, 2, 3, 0, 0, 0.03%, 5, 0, 2, 57.83
1669873373, 25, 0, 3, 0, 0, 0.03%, 5, 0, 2, 55.50
1669873378, 25, 1, 3, 0, 0, 0.03%, 5, 0, 2, 55.47
1669873393, 25, 2, 3, 0, 0, 0.03%, 5, 0, 2, 50.28
1669873403, 26, 0, 3, 0, 0, 0.03%, 5, 0, 2, 58.24
1669873409, 26, 1, 3, 0, 0, 0.03%, 5, 0, 2, 62.47
1669873424, 26, 2, 3, 0, 0, 0.03%, 5, 0, 2, 55.41
1669873434, 27, 0, 3, 0, 0, 0.03%, 5, 0, 2, 57.26
1669873444, 27, 1, 3, 0, 0, 0.03%, 5, 0, 2, 57.79
1669873455, 27, 2, 3, 0, 0, 0.03%, 5, 0, 2, 59.20
1669873471, 28, 0, 3, 0, 0, 0.03%, 5, 0, 2, 55.60
1669873476, 28, 1, 3, 0, 0, 0.03%, 5, 0, 2, 50.99
1669873491, 28, 2, 3, 0, 0, 0.03%, 5, 0, 2, 53.54
1669873501, 29, 0, 3, 0, 0, 0.03%, 5, 0, 2, 61.11
1669873506, 29, 1, 3, 0, 0, 0.03%, 5, 0, 2, 56.04
1669873521, 29, 2, 3, 0, 0, 0.03%, 5, 0, 2, 54.94
1669873537, 30, 0, 3, 0, 0, 0.03%, 5, 0, 2, 58.11
1669873542, 30, 1, 3, 0, 0, 0.03%, 5, 0, 2, 57.38
1669873552, 30, 2, 3, 0, 0, 0.03%, 5, 0, 2, 57.85
1669873567, 31, 0, 3, 0, 0, 0.03%, 5, 0, 2, 62.71
1669873573, 31, 1, 3, 0, 0, 0.03%, 5, 0, 2, 49.15
1669873588, 31, 2, 3, 0, 0, 0.03%, 5, 0, 2, 57.87
1669873598, 32, 0, 3, 0, 0, 0.03%, 5, 0, 2, 70.12
1669873608, 32, 1, 3, 0, 0, 0.03%, 5, 0, 2, 52.76
1669873624, 32, 2, 3, 0, 0, 0.03%, 5, 0, 2, 51.10
1669873634, 33, 0, 3, 0, 0, 0.03%, 5, 0, 2, 58.29
1669873644, 33, 1, 3, 0, 0, 0.03%, 5, 0, 2, 47.74
1669873660, 33, 2, 3, 0, 0, 0.03%, 5, 0, 2, 55.91
1669873670, 34, 0, 3, 0, 0, 0.03%, 5, 0, 2, 64.97
1669873680, 34, 1, 3, 0, 0, 0.03%, 5, 0, 2, 54.25
1669873691, 34, 2, 3, 0, 0, 0.03%, 5, 0, 2, 51.11
1669873701, 35, 0, 3, 0, 0, 0.03%, 5, 0, 2, 69.13
1669873711, 35, 1, 3, 0, 0, 0.03%, 5, 0, 2, 56.41
1669873721, 35, 2, 3, 0, 0, 0.03%, 5, 0, 2, 54.88
1669873737, 36, 0, 3, 0, 0, 0.03%, 5, 0, 2, 60.41
1669873742, 36, 1, 3, 0, 0, 0.03%, 5, 0, 2, 54.35
1669873757, 36, 2, 3, 0, 0, 0.03%, 5, 0, 2, 51.12
1669873772, 37, 0, 3, 0, 0, 0.03%, 5, 0, 2, 48.78
1669873777, 37, 1, 3, 0, 0, 0.03%, 5, 0, 2, 48.89
1669873793, 37, 2, 3, 0, 0, 0.03%, 5, 0, 2, 51.22
1669873803, 38, 0, 3, 0, 0, 0.03%, 5, 0, 2, 58.74
1669873813, 38, 1, 3, 0, 0, 0.03%, 5, 0, 2, 46.75
1669873824, 38, 2, 3, 0, 0, 0.03%, 5, 0, 2, 62.50
1669873839, 39, 0, 3, 0, 0, 0.03%, 5, 0, 2, 62.05
1669873844, 39, 1, 3, 0, 0, 0.03%, 5, 0, 2, 59.58
1669873855, 39, 2, 3, 0, 0, 0.03%, 5, 0, 2, 63.33
1669873865, 40, 0, 3, 0, 0, 0.03%, 5, 0, 2, 67.02
1669873875, 40, 1, 3, 0, 0, 0.03%, 5, 0, 2, 50.81
1669873886, 40, 2, 3, 0, 0, 0.03%, 5, 0, 2, 62.91
1669873901, 41, 0, 3, 0, 0, 0.03%, 5, 0, 2, 54.43
1669873906, 41, 1, 3, 0, 0, 0.03%, 5, 0, 2, 56.46
1669873921, 41, 2, 3, 0, 0, 0.03%, 5, 0, 2, 51.95
1669873932, 42, 0, 3, 0, 0, 0.03%, 5, 0, 2, 56.24
1669873942, 42, 1, 3, 0, 0, 0.03%, 5, 0, 2, 62.21
