# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669679764, 0, 0, 1, 1, 1, 0.06%, 0, 0, 1, 800.00
1669679769, 0, 0, 72, 72, 1, 0.43%, 1, 0, 2, 2996.38
1669679774, 0, 2, 94, 93, 37, 0.46%, 1, 0, 3, 3505.74
1669679779, 0, 18, 108, 101, 36, 0.49%, 2, 0, 3, 3496.77
1669679784, 0, 18, 113, 106, 36, 0.49%, 3, 0, 3, 3500.05
1669679789, 0, 27, 125, 112, 39, 0.51%, 3, 0, 3, 3623.23
1669679794, 0, 46, 130, 108, 32, 0.52%, 3, 0, 3, 3660.91
1669679799, 0, 65, 134, 105, 27, 0.52%, 4, 0, 3, 3662.08
1669679804, 0, 65, 144, 115, 27, 0.53%, 6, 0, 3, 3665.27
1669679809, 0, 93, 149, 113, 23, 0.54%, 6, 0, 4, 3674.23
1669679814, 0, 93, 156, 120, 23, 0.54%, 6, 0, 4, 3669.25
1669679820, 0, 103, 160, 120, 22, 0.56%, 6, 0, 4, 3676.85
1669679825, 0, 118, 166, 123, 20, 0.56%, 6, 0, 4, 3662.83
1669679830, 0, 120, 174, 130, 19, 0.56%, 6, 0, 4, 3666.31
1669679840, 0, 132, 181, 132, 16, 0.56%, 6, 0, 4, 3662.72
1669679845, 0, 132, 184, 135, 16, 0.56%, 6, 0, 4, 3652.83
1669679850, 0, 142, 199, 147, 13, 0.58%, 6, 0, 4, 3654.44
1669679855, 0, 146, 201, 148, 20, 0.58%, 7, 0, 4, 3671.34
1669679861, 0, 176, 202, 142, 13, 0.58%, 7, 0, 5, 3685.01
1669679866, 0, 176, 210, 150, 13, 0.66%, 7, 0, 5, 3679.04
1669679871, 0, 185, 211, 149, 15, 0.66%, 7, 0, 5, 3680.97
1669679876, 0, 185, 215, 153, 15, 0.66%, 8, 0, 5, 3687.75
1669679881, 0, 186, 218, 155, 15, 0.66%, 8, 0, 5, 3682.16
1669679886, 0, 187, 219, 155, 14, 0.66%, 9, 0, 5, 3689.88
1669679891, 0, 187, 222, 158, 14, 0.66%, 11, 0, 5, 3679.52
1669679896, 0, 188, 225, 160, 13, 0.66%, 11, 0, 5, 3686.72
1669679901, 0, 189, 226, 160, 13, 0.66%, 11, 0, 5, 3687.09
1669679907, 0, 189, 229, 163, 13, 0.66%, 11, 0, 5, 3677.50
1669679912, 0, 191, 233, 165, 11, 0.68%, 12, 0, 5, 3677.38
1669679917, 0, 208, 236, 165, 12, 0.68%, 12, 0, 6, 3679.75
1669679922, 0, 231, 238, 162, 8, 0.69%, 13, 0, 6, 3682.97
1669679927, 0, 233, 244, 166, 7, 0.69%, 13, 0, 7, 3661.31
